,Group,OTU37,OTU365,OTU370,OTU423,OTU567,OTU598,OTU733,OTU982,OTU1123,OTU1225,OTU1389,OTU1700,OTU2031,OTU2040,OTU2094,OTU2159,OTU2430,OTU2437,OTU3033,OTU3274,OTU4108,OTU4183,OTU4187,OTU4263,OTU4269,OTU4522,OTU5482,OTU5892,OTU6393,OTU6808,OTU7186,OTU7702,OTU7708,OTU8590,OTU9959,OTU9963,OTU10035,OTU10567,OTU10602,OTU10904,OTU10906,OTU11463,OTU11464,OTU11465,OTU11466,OTU12550,OTU13682,OTU13683,OTU13684,OTU13694,OTU13696,OTU13719,OTU13721,OTU13723,OTU13724,OTU13725,OTU13732,OTU13734,OTU13735,OTU13737,OTU13738,OTU13739,OTU14014,OTU17659,OTU17660,OTU17661,OTU17662,OTU17663
18,2NDC511cm_V4_S135,1232,1441,959,88,1251,783,1061,551,1035,553,822,811,458,260,1270,288,600,806,666,517,149,981,737,665,916,264,341,905,424,571,152,408,122,432,875,76,465,244,301,670,135,15,880,187,513,323,237,174,311,476,885,415,196,215,222,178,218,272,64,17,421,75,263,136,461,215,166,71
19,2NDC515cm_V4_S141,2216,1862,1117,1259,1925,748,888,570,939,1003,803,305,670,416,889,950,850,535,598,461,586,717,535,574,515,751,486,684,197,560,1154,289,409,372,641,1111,340,641,178,507,287,444,70,188,395,184,107,121,370,364,326,247,278,289,266,214,305,275,9,77,285,87,278,360,418,246,252,409
20,2NDC525cm_V4_S100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2NDC534cm_V4_S106,704,641,95,7,291,1718,685,553,714,683,92,11,69,1237,214,182,129,1186,60,714,1605,345,250,122,6,243,21,90,10,229,553,222,95,256,289,130,377,53,162,89,344,54,394,20,276,166,50,0,11,38,253,186,67,62,652,127,501,435,1,829,151,0,373,5,252,145,304,43
22,2NDC600cm_V4_S112,3047,1464,2035,1579,1302,217,615,431,421,583,876,1009,1080,67,885,647,590,290,526,360,247,743,383,616,588,867,375,591,550,411,1286,195,674,200,125,808,64,692,242,192,27,72,169,332,160,136,64,773,350,473,77,157,276,483,36,472,23,75,360,10,345,577,83,315,33,36,137,42
23,2NDC603cm_V4_S118,2680,1920,2492,2264,2180,721,936,465,826,791,1469,1016,823,188,1228,795,657,462,1226,398,223,771,796,603,956,531,906,686,663,555,867,376,600,411,730,360,241,670,162,678,98,153,135,189,424,258,205,368,508,425,386,333,375,440,128,200,212,223,281,19,324,231,143,288,274,104,128,103
24,2NDC614cm_V4_S124,62,37,59,67,60,34,37,2,23,20,42,8,21,17,35,19,18,16,23,12,6,20,21,16,9,12,21,6,4,24,33,5,6,3,14,30,6,23,6,21,9,24,0,2,8,3,13,7,6,8,24,19,6,3,2,4,7,4,5,0,10,7,8,24,23,4,11,3
25,2NDC623cm_V4_S130,956,561,71,38,326,1555,420,390,578,780,38,5,58,872,257,150,106,743,99,661,1352,389,182,150,8,412,18,108,0,235,235,149,85,262,108,109,393,29,152,10,444,8,313,35,189,135,16,1,10,28,374,113,133,72,456,44,659,359,2,366,133,0,400,21,471,226,159,87
26,2NDC629cm_V4_S136,302,918,156,718,650,1614,1100,612,1399,577,173,21,85,898,394,32,298,1648,119,880,1034,418,348,63,49,292,53,224,23,243,59,209,84,276,431,177,652,8,179,139,417,96,0,57,395,152,137,4,0,59,571,328,12,60,607,67,647,452,18,836,283,35,463,15,985,160,517,0
27,2NDW300cm_V4_S51,1612,682,1060,116,616,26,435,374,814,299,676,1520,740,18,576,458,265,106,409,162,116,386,149,543,553,329,263,343,956,195,197,409,473,256,62,224,28,275,146,61,9,405,977,290,190,239,33,719,220,203,22,69,172,198,10,412,20,16,199,2,84,340,37,193,19,15,103,5
28,2NDW304cm_V4_S59,356,148,108,18,180,0,194,457,360,9,171,194,126,1,237,148,32,69,72,30,84,129,11,167,74,68,30,61,129,69,13,190,193,103,0,52,1,117,266,1,0,177,192,291,67,116,1,45,67,37,1,195,20,46,0,197,2,2,38,0,42,5,6,63,0,1,57,0
29,2NDW308cm_V4_S3,1351,130,13,0,648,211,2305,5327,1184,10,18,3,317,686,86,408,3,344,9,76,303,812,7,67,0,7,5,14,3,327,44,983,46,1031,304,33,113,9,3403,419,25,69,9,1835,965,805,374,3,10,1,196,693,8,108,22,125,83,60,2,0,515,4,64,206,5,131,154,1
30,2NDW311cm_V4_S28,55,86,3,0,27,709,412,215,376,19,2,3,6,961,73,9,10,105,0,200,1,51,0,0,0,1,1,0,1,8,2,104,2,121,30,15,356,0,71,51,337,3,9,86,161,141,1058,0,3,0,112,34,0,3,54,3,87,154,2,72,37,3,86,15,17,126,145,39
31,2NDW317cm_V4_S36,13,182,0,1,14,1130,199,88,278,10,0,0,5,1055,33,1,7,129,0,206,4,77,1,3,0,2,0,0,0,2,0,144,1,120,100,2,544,0,23,4,720,1,0,4,34,208,1012,0,0,0,123,41,0,0,100,3,222,234,0,137,22,0,232,1,25,131,263,59
32,2NDW400cm_V4_S45,1207,411,845,861,452,28,204,391,139,31,464,1667,687,11,321,399,153,38,230,139,104,154,41,245,451,615,182,215,914,128,152,137,426,117,49,248,40,224,54,55,14,423,6,156,53,98,13,381,103,97,12,63,124,184,0,155,14,8,95,1,50,474,23,72,18,14,36,3
33,2NDW403cm_V4_S53,1651,1052,1366,1567,683,36,568,1298,1758,575,859,1886,965,14,671,331,266,69,526,191,236,523,150,658,730,586,305,373,1018,312,130,590,524,429,93,220,23,168,218,231,4,192,1,188,373,395,34,588,270,259,23,160,219,390,11,445,37,15,246,1,128,376,34,216,17,14,112,7
34,2NDW410cm_V4_S61,1129,12,15,32,587,13,1044,4507,690,18,18,41,294,127,76,668,27,119,33,27,162,463,4,141,5,10,15,23,30,204,60,590,14,455,158,16,71,9,1383,299,4,149,1,1531,436,485,23,5,7,2,103,753,12,22,4,213,79,3,8,1,359,6,41,97,2,79,110,1
